word,frequency
smile,32.0
high,32.0
lose,32.0
else,32.0
ice,32.0
change,31.0
text,31.0
early,31.0
forgot,31.0
felt,31.0
loved,31.0
unfortunately,31.0
wasn't,31.0
finally,31.0
feels,31.0
understand,31.0
ya,30.0
premiosmtvmiaw,30.0
hell,30.0
loves,30.0
ugly,30.0
which,30.0
ko,30.0
hoping,30.0
yourself,30.0
woke,30.0
bro,30.0
nobody,30.0
busy,30.0
awww,29.0
nervous,29.0
each,29.0
ang,29.0
hugs,29.0
what's,29.0
supposed,29.0
lonely,29.0
wouldnt,28.0
star,28.0
bb,28.0
save,28.0
hungry,28.0
either,28.0
link,28.0
eyes,28.0
small,28.0
),28.0
cut,28.0
heard,28.0
me:,28.0
g,28.0
imagine,28.0
excited,27.0
job,27.0
times,27.0
yesterday,27.0
sold,27.0
she's,27.0
check,27.0
asked,27.0
looked,27.0
af,27.0
glad,27.0
safe,27.0
fine,27.0
room,27.0
ticket,27.0
friday,26.0
forget,26.0
date,26.0
songs,26.0
movies,26.0
brother,26.0
internet,26.0
bought,26.0
months,26.0
goes,26.0
yoongi,26.0
cool,26.0
turn,26.0
taking,26.0
top,26.0
group,26.0
sigh,26.0
during,26.0
kid,26.0
watched,25.0
means,25.0
:-(((,25.0
reason,25.0
craving,25.0
dream,25.0
lately,25.0
definitely,25.0
la,25.0
stupid,25.0
pay,25.0
sleeping,25.0
hit,25.0
stomach,25.0
feelings,25.0
weather,25.0
met,25.0
prom,25.0
bf,25.0
lang,25.0
couple,25.0
o,25.0
run,24.0
loss,24.0
monday,24.0
games,24.0
emo,24.0
sis,24.0
th,24.0
weird,24.0
party,24.0
nooo,24.0
three,24.0
point,24.0
deleted,24.0
awful,24.0
6,24.0
daddy,24.0
happen,24.0
team,24.0
support,24.0
college,23.0
:(:,23.0
body,23.0
fall,23.0
i'd,23.0
pics,23.0
mind,23.0
move,23.0
asking,23.0
plans,23.0
babe,23.0
pictures,23.0
yo,23.0
worse,23.0
jimin,23.0
we're,23.0
seems,23.0
stan,23.0
ones,23.0
hour,23.0
suck,23.0
hand,23.0
reply,23.0
officially,23.0
seriously,23.0
past,23.0
h,22.0
joke,22.0
till,22.0
lucky,22.0
d,22.0
bar,22.0
pic,22.0
keeps,22.0
sunday,22.0
de,22.0
broken,22.0
open,22.0
fans,22.0
lets,22.0
badly,22.0
dance,22.0
usually,22.0
proud,22.0
fast,22.0
sent,21.0
strong,21.0
notice,21.0
luv,21.0
happening,21.0
m,21.0
due,21.0
message,21.0
short,21.0
shows,21.0
exactly,21.0
chicken,21.0
afraid,21.0
goodnight,21.0
x,21.0
cuddle,21.0
wars,21.0
pray,21.0
gay,21.0
roarforchange,21.0
realize,21.0
videos,21.0
tweets,21.0
10,21.0
arent,20.0
drive,20.0
pick,20.0
enjoy,20.0
pass,20.0
stuck,20.0
kiss,20.0
totally,20.0
problem,20.0
shut,20.0
@ivofspades,20.0
naman,20.0
hold,20.0
ako,20.0
moment,20.0
needs,20.0
episode,20.0
scary,20.0
:-((((,20.0
app,20.0
starting,20.0
answer,20.0
drop,20.0
fav,20.0
couldn't,20.0
under,20.0
hahaha,20.0
f,20.0
sooo,20.0
let's,19.0
ig,19.0
fandom,19.0
case,19.0
dear,19.0
wonder,19.0
later,19.0
ah,19.0
pizza,19.0
crazy,19.0
longer,19.0
nails,19.0
c,19.0
tag,19.0
fight,19.0
bestie,19.0
noooo,19.0
picture,19.0
says,19.0
nose,19.0
deserves,19.0
nope,19.0
knows,19.0
experience,18.0
exo,18.0
ng,18.0
nct,18.0
beach,18.0
behind,18.0
water,18.0
mutual,18.0
course,18.0
y'all,18.0
everyday,18.0
emotional,18.0
bear,18.0
cannot,18.0
son,18.0
tl,18.0
harry,18.0
half,18.0
card,18.0
abt,18.0
fix,18.0
swear,18.0
tom,18.0
puppy,18.0
haha,18.0
honey,18.0
skin,17.0
worry,17.0
soooo,17.0
dogs,17.0
blue,17.0
ahhh,17.0
rt,17.0
listening,17.0
agree,17.0
you'll,17.0
wala,17.0
drunk,17.0
fam,17.0
using,17.0
adorable,17.0
lots,17.0
album,17.0
black,17.0
knowing,17.0
health,17.0
fake,17.0
truly,17.0
crush,17.0
event,17.0
:/,17.0
jungkook,17.0
@troyesivan,17.0
hella,17.0
city,17.0
final,17.0
whenever,17.0
walk,17.0
shy,17.0
sound,17.0
finals,17.0
via,17.0
fell,17.0
cold,17.0
different,17.0
online,17.0
sweetest,17.0
p,17.0
@jacobsartorius,17.0
store,17.0
deal,17.0
sun,17.0
7,17.0
earlier,16.0
/,16.0
tryna,16.0
youtube,16.0
20,16.0
cuz,16.0
except,16.0
peace,16.0
white,16.0
ka,16.0
dark,16.0
order,16.0
anyway,16.0
stressed,16.0
ouch,16.0
number,16.0
sleepy,16.0
heartbreaking,16.0
story,16.0
giving,16.0
huge,16.0
words,16.0
aint,16.0
decided,16.0
feed,16.0
smoke,16.0
kill,16.0
gosh,16.0
called,16.0
11:11,16.0
side,16.0
reading,16.0
horrible,16.0
fortnite,16.0
awh,16.0
anxious,16.0
comes,16.0
dick,16.0
cried,16.0
truth,16.0
especially,16.0
taken,16.0
senior,16.0
single,16.0
cutie,16.0
forward,16.0
jk,16.0
agentsofshield,16.0
currently,16.0
ahh,15.0
stopped,15.0
disappointed,15.0
we'll,15.0
drink,15.0
easy,15.0
((,15.0
din,15.0
dinner,15.0
hurting,15.0
@weareoneexo,15.0
changed,15.0
::,15.0
barely,15.0
finished,15.0
cos,15.0
worked,15.0
dms,15.0
minutes,15.0
oof,15.0
bday,15.0
coffee,15.0
flight,15.0
skinny,15.0
promise,15.0
netflix,15.0
photos,15.0
laugh,15.0
ended,15.0
@jamescharles,15.0
appreciate,15.0
add,15.0
young,15.0
rly,15.0
aren't,15.0
:((((((((,15.0
anxiety,15.0
worried,15.0
wheres,15.0
perfect,15.0
thread,15.0
wear,15.0
gf,15.0
sit,15.0
closed,15.0
calling,15.0
gym,15.0
apple,15.0
killed,15.0
slept,14.0
breaks,14.0
needed,14.0
become,14.0
salonga,14.0
buying,14.0
attention,14.0
@uniquetsalonga,14.0
brought,14.0
losing,14.0
join,14.0
extra,14.0
ba,14.0
staying,14.0
lifesentence,14.0
po,14.0
ty,14.0
gotten,14.0
touch,14.0
near,14.0
question,14.0
@realdonaldtrump,14.0
si,14.0
wouldve,14.0
fucked,14.0
four,14.0
goodbye,14.0
country,14.0
v,14.0
played,14.0
line,14.0
bub,14.0
blocked,14.0
ending,14.0
tiny,14.0
worth,14.0
share,14.0
oomf,14.0
dress,14.0
awe,14.0
exhausted,14.0
12,14.0
fault,14.0
between,14.0
spent,14.0
talked,14.0
members,14.0
second,14.0
happens,14.0
stress,14.0
+,14.0
:(((((((((,14.0
8,14.0
mess,14.0
apartment,13.0
set,13.0
expensive,13.0
leaves,13.0
issues,13.0
hearing,13.0
di,13.0
plan,13.0
idea,13.0
//,13.0
takes,13.0
rude,13.0
mi,13.0
fr,13.0
special,13.0
noticed,13.0
running,13.0
afford,13.0
visit,13.0
works,13.0
cats,13.0
rain,13.0
spend,13.0
death,13.0
computer,13.0
universe,13.0
trash,13.0
realized,13.0
shitty,13.0
nah,13.0
makeup,13.0
hanging,13.0
somebody,13.0
taehyung,13.0
bruins,13.0
genuinely,13.0
smh,13.0
surprised,13.0
lives,13.0
dumb,13.0
:d,13.0
sana,13.0
ruined,13.0
biggest,13.0
solo,13.0
beat,13.0
relate,13.0
ain't,13.0
woman,13.0
box,13.0
fat,13.0
red,13.0
choose,13.0
art,13.0
ima,13.0
cancelled,13.0
taeyong,13.0
child,12.0
meeting,12.0
kisses,12.0
positive,12.0
town,12.0
e,12.0
available,12.0
mo,12.0
entire,12.0
mtvbrkpopbts,12.0
terrible,12.0
shame,12.0
continue,12.0
self,12.0
fair,12.0
plz,12.0
meant,12.0
against,12.0
michael,12.0
ikr,12.0
playlist,12.0
l,12.0
passed,12.0
dan,12.0
freaking,12.0
nights,12.0
tix,12.0
praying,12.0
hands,12.0
anyways,12.0
class,12.0
catch,12.0
choice,12.0
tummy,12.0
happiness,12.0
youll,12.0
mans,12.0
bye,12.0
avengers,12.0
putting,12.0
handle,12.0
respect,12.0
dying,12.0
sell,12.0
code,12.0
hmu,12.0
checked,12.0
w/,12.0
outside,12.0
lowkey,12.0
absolutely,12.0
eh,12.0
mtvlakpopbts,12.0
favourite,12.0
upload,12.0
irl,12.0
content,12.0
au,12.0
trip,12.0
sunshine,12.0
ha,12.0
huhuhu,12.0
alright,12.0
light,12.0
suddenly,12.0
uh,12.0
afternoon,12.0
living,12.0
heck,12.0
streaming,12.0
blessed,12.0
type,12.0
anywhere,12.0
awesome,12.0
write,12.0
dang,12.0
cheese,12.0
studying,12.0
level,12.0
third,12.0
hays,12.0
pet,12.0
moving,12.0
straight,12.0
letting,12.0
eating,12.0
thru,12.0
quite,12.0
pc,12.0
killing,12.0
legit,11.0
low,11.0
inside,11.0
bunch,11.0
queen,11.0
chat,11.0
partner,11.0
along,11.0
anon,11.0
beer,11.0
pink,11.0
others,11.0
wearing,11.0
memes,11.0
til,11.0
soul,11.0
jealous,11.0
smart,11.0
thor,11.0
age,11.0
pull,11.0
wings,11.0
breaking,11.0
calm,11.0
main,11.0
paid,11.0
sale,11.0
nap,11.0
re,11.0
tea,11.0
ik,11.0
wondering,11.0
important,11.0
misses,11.0
eye,11.0
tv,11.0
@richkeith,11.0
uncomfortable,11.0
finish,11.0
painful,11.0
book,11.0
9,11.0
armys,11.0
(2018),11.0
smol,11.0
likes,11.0
whatever,11.0
kpop,11.0
tae,11.0
shet,11.0
perform,11.0
sitting,11.0
seem,11.0
boring,11.0
shopping,11.0
asap,11.0
@cienfuegosxx,11.0
decision,11.0
bummed,11.0
delete,11.0
interview,11.0
active,11.0
turned,11.0
tweeted,11.0
apparently,11.0
gif,11.0
wind,11.0
atm,11.0
fit,11.0
jelly,11.0
imma,11.0
followed,11.0
deep,11.0
bag,11.0
cheeks,11.0
less,11.0
exam,11.0
hasnt,11.0
meme,11.0
none,11.0
heartbroken,11.0
cuddles,11.0
park,11.0
tears,11.0
screen,11.0
@calum5sos,11.0
